r_code,region,comm_code,community
6,Ashanti Region,314,Asafo
6,Ashanti Region,315,Ashanti Newtown
6,Ashanti Region,316,New Tafo
6,Ashanti Region,317,Kronom
6,Ashanti Region,318,Old Tafo
6,Ashanti Region,319,Buokrom Estate
6,Ashanti Region,320,Pankrono
6,Ashanti Region,321,Ankaase
6,Ashanti Region,322,Kenyasi
6,Ashanti Region,323,Akwamu Abira
6,Ashanti Region,324,Bronkrong (Kronom Afrancho)
6,Ashanti Region,325,Aboabogya
6,Ashanti Region,326,Jamasi
6,Ashanti Region,327,Akrofonso
6,Ashanti Region,328,Effiduase
6,Ashanti Region,329,Aburaa
6,Ashanti Region,330,Asuogya Kwabena Dapaah
6,Ashanti Region,331,Winnamda
6,Ashanti Region,332,Azorke
6,Ashanti Region,333,Mamprusi
6,Ashanti Region,334,Oyoko
6,Ashanti Region,335,Kyeiase
6,Ashanti Region,336,Nsuta
6,Ashanti Region,337,Offinso Antoa
6,Ashanti Region,338,Kokote
6,Ashanti Region,339,Offinso Old Town
6,Ashanti Region,340,Maase
6,Ashanti Region,341,Mpasaso No.1
7,Brong Ahafo Region,342,Aglagokrom
7,Brong Ahafo Region,343,Manukrom No.1
7,Brong Ahafo Region,344,Berekum No.2
7,Brong Ahafo Region,345,Jerusalem
7,Brong Ahafo Region,346,Goaso-Abotanso
7,Brong Ahafo Region,347,Goaso-Aheboboano
7,Brong Ahafo Region,348,Kukuom
7,Brong Ahafo Region,349,Fawohoyeden
7,Brong Ahafo Region,350,Hwediem
7,Brong Ahafo Region,351,Gyedu
7,Brong Ahafo Region,352,Yamfo
7,Brong Ahafo Region,353,Sunyani-Dominase
7,Brong Ahafo Region,354,Sunyani-Area One
7,Brong Ahafo Region,355,Abronye
7,Brong Ahafo Region,356,Aboabo No. 2
7,Brong Ahafo Region,357,Baano No.3
7,Brong Ahafo Region,358,Adamsu
7,Brong Ahafo Region,359,Goka
7,Brong Ahafo Region,360,Baano No.1
7,Brong Ahafo Region,361,Wenchi
7,Brong Ahafo Region,362,Banda Boase
7,Brong Ahafo Region,363,Nsawkaw
7,Brong Ahafo Region,364,Banda Ahenkro
7,Brong Ahafo Region,365,Fiaso
7,Brong Ahafo Region,366,Nkwabeng-Adwoa Nkansah'S Hse
7,Brong Ahafo Region,367,Nkwabeng-Akyiase B
7,Brong Ahafo Region,368,Yabraso
7,Brong Ahafo Region,369,Nyabea
7,Brong Ahafo Region,370,Pamdu New
7,Brong Ahafo Region,371,Nante
7,Brong Ahafo Region,372,Atebubu
7,Brong Ahafo Region,373,Labun No.1
9,Upper East Region,374,Sawaba
7,Brong Ahafo Region,375,Kwame Danso
7,Brong Ahafo Region,376,Akyeremade Battor
8,Northern Region,377,Nahari
8,Northern Region,378,Kabampe
8,Northern Region,379,Wiae Saboba-Chabo
8,Northern Region,380,Kitare
8,Northern Region,381,Kabonwule
8,Northern Region,382,Gbung
8,Northern Region,383,Bimbilla
8,Northern Region,384,Akonsiyili
8,Northern Region,385,Gbandi-Battor
8,Northern Region,386,Duuni
8,Northern Region,387,Walni
8,Northern Region,388,Charkundo
8,Northern Region,389,Magini Bikpanjibe
8,Northern Region,390,Sabare No.1
8,Northern Region,391,Bakanu-Kudani
8,Northern Region,392,Mayemam
8,Northern Region,393,Labsiaka
8,Northern Region,394,Dulnyado
8,Northern Region,395,Kulkpanga
8,Northern Region,396,Gundugolaryili
8,Northern Region,397,Kpaligu
8,Northern Region,398,Lunluwa
8,Northern Region,399,Nabuligu
8,Northern Region,400,Kumoayili
8,Northern Region,401,Fazihini
8,Northern Region,402,Nyoglo
8,Northern Region,403,Nantong
8,Northern Region,404,Datoyili
8,Northern Region,405,Zogbeli Lamakara
8,Northern Region,406,Bupiela Bayanwaya
8,Northern Region,407,Changli
8,Northern Region,408,Moshie Zongo/Tishigu
8,Northern Region,409,Nyohini South Sanerigu
8,Northern Region,410,Nyohini North Sanerigu
8,Northern Region,411,Sanerigu
8,Northern Region,412,Saakuba
8,Northern Region,413,Loagri No.1
8,Northern Region,414,Tinguri
8,Northern Region,415,Arigu
8,Northern Region,416,Kinkangu
8,Northern Region,417,Nakpanduri
9,Upper East Region,418,Sandema-Abeleyeri
9,Upper East Region,419,Gbedema Golluk
9,Upper East Region,420,Balansa Bagumsa
9,Upper East Region,421,Beo Nayikura
9,Upper East Region,422,Namoo
9,Upper East Region,423,Bolgatanga Soe
9,Upper East Region,424,Gorogo Buuni
9,Upper East Region,425,Kalbeo Alokobisi
9,Upper East Region,426,Sakaribisi
9,Upper East Region,427,Balungu Abienbisi
9,Upper East Region,428,Ssnit Flat-Tindansobulugu
9,Upper East Region,429,Duuri
9,Upper East Region,430,Kukparigu
9,Upper East Region,431,Kabingo
9,Upper East Region,432,Kolonaba
9,Upper East Region,433,Mognori
10,Upper West Region,434,Limanyiri Kombiehi Wa
10,Upper West Region,435,Gbungberi
10,Upper West Region,436,Jingu
10,Upper West Region,437,Kpongu
10,Upper West Region,438,Mantare
10,Upper West Region,439,Sampipa-Kuo
10,Upper West Region,440,Takpo
10,Upper West Region,441,Papu
10,Upper West Region,442,Serekperee
10,Upper West Region,443,Nyevili
10,Upper West Region,444,Jeffisi-Bosibelle
10,Upper West Region,445,Bawiesibelle Kodobelle
4,Volta Region,446,Tapa-Kototro
4,Volta Region,447,Tapa-Bompaso
1,Western Region,3101,Fijai
1,Western Region,3102,Windy Ridge
1,Western Region,3103,Kwesimintim
1,Western Region,3104,Kejabil
1,Western Region,3105,Kwamekrom
1,Western Region,3106,Seyerano
1,Western Region,3107,Adabokrom
1,Western Region,3108,Jomoro
1,Western Region,3109,Samereboi
